"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"ShoreZone Unit"

Selection Criteria:

"PHY_IDENT","HabClass","BC_CLASS","EXP_BIO","SHORETYPE","ESI","ORI","TRSH","DUGR","SPZO","BLLI","WHLI","YELI","BARN","BLMU","GRAL","BRAL","SURF","EELG","SOBK","ROCK","DRKE","BUKE","CMECS_1","CMECS_2","LENGTH_M","Slope_calc","SHORE_PROB","LOST_SHORE","Wave_Dissipation","Orient_dir","Tidal_height","CVI_Rank"
"04/01/0083/A","50","2","P","2","8D","4","","","","N","","","C","","C","","","","C","C","","","S1.1","S1.2.1.1","41.572","19","","","Plunging","S","5.8","Low"
"04/01/0083/B","50","5","P","5","9A","4","","","","N","","","C","C","P","","","","C","C","","","S1.2.1.1","","162.037","4","","","Spilling","S","5.8","Low"
"04/01/0084/A","50","2","P","2","8D","4","","","","N","","","C","","C","","","","C","C","","","S1.1","S1.2.1.1","114.385","40","","","Collapsing","E","5.8","Low"
"04/01/0085/A","50","3","P","3","8D","5","","","","N","","","C","C","C","","","P","C","C","","","S1.1","S1.2.1.2.1","112.928","18","","","Plunging","E","5.8","Low"
"04/01/0086/A","40","1","SP","1","8A","3","","","","M","","","C","C","","","","","C","C","","","S1.1","","111.902","40","","","Collapsing","NW","5.8","Low"
"04/01/0086/B","40","2","SP","2","8D","3","","","","M","","","C","P","P","","","","C","C","","","S1.1","S1.2.1.1","136.278","44","","","Surging","NE","5.8","Low"
"04/01/0087/A","40","2","SP","2","8D","4","","","","M","","","C","C","P","","","","C","C","","","S1.1","S1.2.1.1","185.466","33","","","Plunging","SW","5.8","Low"
"04/01/0087/B","40","3","SP","3","8D","4","","","","M","","","C","P","C","","","","C","C","","","S1.1","S1.2.1.2.1","48.633","15","","","Plunging","W","5.8","Low"
"04/01/0087/C","40","3","SP","3","8A","3","","","","M","","","C","C","P","","","","C","C","","","S1.1","S1.2.1.2.1","116.623","30","","","Plunging","SW","5.8","Low"
"04/01/0088/A","40","6","SP","6","8D","5","","","","N","","","C","P","","","","","C","C","","","S1.2.1.2.1","","108.124","11","","","Plunging","SW","5.8","Low"
"04/01/0088/B","40","1","SP","1","8A","3","","","","M","","","C","C","C","","","","P","C","","","S1.1","","78.778","63","","","Surging","SW","5.8","Low"
"04/01/0088/C","40","2","SP","2","8D","4","","","","M","","","C","C","C","","","","C","C","","","S1.1","S1.2.1.1","37.659","8","","","Plunging","S","5.8","Low"
"04/01/0088/D","40","6","SP","6","5","5","","","","N","","","P","C","P","","","","C","C","","","S1.2.1.2.1","","105.141","9","","","Plunging","S","5.8","Low"
"04/01/0088/E","40","2","SP","2","8D","4","","","","M","","","C","P","C","","","","C","C","","","S1.1","S1.2.1.1","77.022","44","","","Surging","SW","5.8","Low"
