"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"ShoreZone Unit"

Selection Criteria:

"PHY_IDENT","HabClass","BC_CLASS","EXP_BIO","SHORETYPE","ESI","ORI","TRSH","DUGR","SPZO","BLLI","YELI","BARN","BLMU","GRAL","BRAL","REAL","EELG","ALAR","SOBK","DABK","ROCK","DRKE","BUKE","CMECS_1","CMECS_2","LENGTH_M","Slope_calc","Wave_Dissipation","Orient_dir","Tidal_height","CVI_Rank"
"04/01/0487/C","51","3","P","3","8D","5","","","","M","","C","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","81.927","13","Plunging","SE","5.5","Low"
"04/01/0488/A","51","6","P","6","5","5","C","","","M","","","","","","","","","C","","C","","","S1.2.1.2.1","","15.042","11","Plunging","S","5.5","Low"
"04/01/0488/B","51","3","P","3","8D","5","","","","M","","C","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","50.105","15","Plunging","S","5.5","Low"
"04/01/0489/A","51","6","P","6","9A","5","","C","","","","","","","","","","","C","","P","","","S1.2.1.2.1","","98.189","8","Plunging","S","5.5","Low"
"04/01/0490/A","51","3","P","3","9A","5","C","","M","","","P","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","54.627","6","Spilling","SW","5.5","Low"
"04/01/0491/A","51","6","P","6","5","5","","","","M","","C","","","","","","","C","","C","","","S1.2.1.2.1","","101.247","12","Plunging","S","5.5","Low"
"04/01/0492/A","51","6","P","6","5","5","C","","N","","","","","","","","","","C","","C","","","S1.2.1.2.1","","101.549","12","Plunging","E","5.5","Low"
"04/01/0493/A","50","6","P","6","9A","5","C","","M","M","","","","","","","","","C","","C","","","S1.2.1.2.1","","197.001","12","Plunging","NW","5.5","Low"
"04/01/0494/A","51","6","P","6","5","5","C","","N","","","","","","","","","","P","","C","","","S1.2.1.2.1","","89.653","35","Plunging","NE","5.5","Low"
"04/01/0494/B","51","6","P","6","9A","5","C","","N","","","","","","","","","","C","","C","","","S1.2.1.2.1","","97.891","4","Spilling","SW","5.5","Low"
"04/01/0495/A","50","3","P","3","8D","5","C","","","N","","C","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","283.356","17","Plunging","W","5.5","Low"
"04/01/0496/A","51","6","P","6","8D","5","C","","N","","","P","","","","","","","C","","P","","","S1.2.1.2.1","","123.873","13","Plunging","SW","5.5","Low"
"04/01/0497/A","51","3","P","3","5","5","","C","","","","P","","","","","","","C","","P","","","S1.1","S1.2.1.2.1","67.639","10","Plunging","W","5.5","Low"
"04/01/0497/B","51","3","P","3","9A","5","","C","","","","C","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","126.217","3","Spilling","SW","5.5","Low"
"04/01/0497/C","51","6","P","6","9A","5","C","","","N","","","","","","","","","C","","P","","","S1.2.1.2.1","","208.625","8","Plunging","SW","5.5","Low"
"04/01/0498/A","51","6","P","6","5","5","C","","","N","","","","","","","","","C","","P","","","S1.2.1.2.1","","509.021","12","Plunging","SW","5.5","Low"
"04/01/0499/A","51","3","P","3","9A","5","C","","N","","","C","","","","","","","P","","C","","","S1.1","S1.2.1.2.1","143.631","4","Spilling","SE","5.5","Low"
"04/01/0500/A","51","6","P","6","9A","5","C","","N","","","","","","","","","","","","","","","S1.2.1.2.1","","103.389","14","Plunging","S","5.5","Low"
"04/01/0501/A","51","6","P","6","9A","5","","","N","","","","","","","","","","","","","","","S1.2.1.2.1","","152.47","5","Spilling","SW","5.5","Low"
"04/01/0502/A","50","6","P","6","9A","5","","","","N","","","","","","","","","C","","","","","S1.2.1.2.1","","117.03","14","Plunging","NW","5.5","Low"
"04/01/0502/B","50","6","P","6","9A","5","","C","","","","P","","P","","","","","C","","P","","","S1.2.1.2.1","","60.296","11","Plunging","NW","5.5","Low"
"04/01/0502/C","50","6","P","6","5","5","C","","","N","","P","C","","","","","","C","","","","","S1.2.1.2.1","","325.93","15","Plunging","NW","5.5","Low"
"04/01/0502/D","50","6","P","6","9A","5","C","","","","","","","","","","","","C","","P","","","S1.2.1.2.1","","306.082","7","Plunging","W","5.5","Low"
"04/01/0503/A","51","6","P","6","9A","5","C","P","","","","","","","","","P","","C","","","","","S1.2.1.2.1","","92.336","7","Plunging","SW","5.5","Low"
"04/01/0504/A","51","6","P","6","9A","5","","","","N","","","","","","","C","","","","","","","S1.2.1.2.1","","82.952","2","Spilling","S","5.5","Low"
"04/01/0504/B","51","7","P","7","9A","4","C","","","","","","","","","","","","","","","","","S1.2.2.2","","500.49","2","Spilling","SW","5.5","Low"
"04/01/0508/A","53","7","P","7","9A","4","P","C","N","","","","","","","","C","","","","C","","","S1.2.2.2","","1050.78","1","Spilling","NE","5.5","Low"
"04/01/0508/B","53","6","P","6","5","5","C","","N","","","","","","","","P","","","","P","","","S1.2.1.2.1","","559.399","12","Plunging","NE","5.5","Low"
"04/01/0508/C","53","6","P","6","9A","5","C","","N","","","","","","","","C","","","","P","","","S1.2.1.2.1","","78.556","6","Spilling","NE","5.5","Low"
"04/01/0509/A","50","6","P","6","5","5","C","","N","","","","C","","","","C","","C","","P","","","S1.2.1.2.1","","397.319","11","Plunging","NE","5.5","Low"
"04/01/0510/A","50","6","P","6","5","5","C","","N","","","","","","","","","","C","","P","","","S1.2.1.2.1","","273.975","15","Plunging","NE","5.5","Low"
"04/01/0510/B","50","6","P","6","5","5","C","","N","","","","","","","","","","C","","C","","","S1.2.1.2.1","","256.522","15","Plunging","N","5.5","Low"
"04/01/0510/C","50","6","P","6","9A","5","C","P","N","","","","","","","","C","","","","P","","","S1.2.1.2.1","","172.291","4","Spilling","SE","5.5","Low"
"04/01/0511/A","50","6","P","6","5","5","","C","","","","","","","","","P","","","","","","","S1.2.1.2.1","","261.998","7","Plunging","SE","5.5","Low"
"04/01/0512/A","41","6","SP","6","5","5","","C","","","","","","C","","","","","C","","","","","S1.2.1.2.1","","47.313","4","Spilling","NE","5.5","Low"
"04/01/0512/B","41","6","SP","6","5","5","","C","","","","","","C","","","","","C","","","","","S1.2.1.2.1","","283.831","7","Plunging","N","5.6","Moderate"
"04/01/0513/A","41","6","SP","6","5","5","","C","","","","","","","","","","","C","","","","","S1.2.1.2.1","","171.522","8","Plunging","NE","5.6","Low"
"04/01/0514/A","41","6","SP","6","6A","5","C","","","N","","P","","","","","","","C","","C","","","S1.2.1.2.1","","297.638","9","Plunging","NE","5.6","Low"
"04/01/0515/A","41","6","SP","6","6A","5","C","C","","","","C","","","","","","","C","","","","","S1.2.1.2.1","","260.514","11","Plunging","NE","5.6","Low"
"04/01/0516/A","41","6","SP","6","9A","5","C","P","","","","P","","P","","","","","C","","C","","","S1.2.1.2.1","","71.437","5","Spilling","SE","5.6","Low"
"04/01/0517/A","41","6","SP","6","6B","5","C","P","","","","","","C","","","","","C","","P","","","S1.2.1.2.1","","91.763","7","Plunging","E","5.6","Low"
